"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename","entrezid"
"ENSG00000085840",62.6028396919314,-2.54031934733897,0.268609359805295,-9.45730018187138,3.15996579068563e-21,2.32529352996388e-20,"ORC1","origin recognition complex subunit 1","4998"
"ENSG00000162599",31.0763295811351,-2.06564101993564,0.363228525027229,-5.68689097251047,1.29372992252517e-08,4.85444844276103e-08,"NFIA","nuclear factor I A","4774"
"ENSG00000024526",333.252157523288,-2.83279348073001,0.125335213681244,-22.6017365553344,4.16660551155853e-113,2.20337267804783e-111,"DEPDC1","DEP domain containing 1","55635"
"ENSG00000117069",23.9649851762818,-2.25416772629563,0.429801474762803,-5.24467192100644,1.56560661151706e-07,5.3718511503076e-07,"ST6GALNAC5","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","81849"
"ENSG00000171517",75.7468133455321,3.35502729996,0.293410825472885,11.4345723084782,2.80917503935274e-30,2.80993684953291e-29,"LPAR3","lysophosphatidic acid receptor 3","23566"
"ENSG00000137975",33.5214982464307,3.78953533146322,0.47317330560788,8.00876821779886,1.15863037994681e-15,6.5925309007849e-15,"CLCA2","chloride channel accessory 2","9635"
"ENSG00000117228",682.433310695606,-2.20541188070194,0.0980998844116578,-22.4812892892651,6.32748427128639e-112,3.27563869959858e-110,"GBP1","guanylate binding protein 1","2633"
"ENSG00000162645",89.9913078872336,-2.32236783015538,0.220774910800137,-10.5191655235579,7.04951539392938e-26,6.14344655180355e-25,"GBP2","guanylate binding protein 2","2634"
"ENSG00000137962",747.210466132633,-2.18043253930011,0.0923899175256687,-23.6003299677621,3.82416321407941e-123,2.38066261858766e-121,"ARHGAP29","Rho GTPase activating protein 29","9411"
"ENSG00000117519",4483.62709360346,-2.42271923982668,0.0600016215412207,-40.3775627657377,0,0,"CNN3","calponin 3","1266"
"ENSG00000117598",1.68039679429588,-4.2619418040474,1.6878367589489,-2.52509123376452,0.0115668256466624,0.0226109045889693,"PLPPR5","phospholipid phosphatase related 5","163404"
"ENSG00000134222",215.560012132067,-2.08611319808431,0.159782402006163,-13.0559634345956,5.87619111291431e-39,7.67232952919802e-38,"PSRC1","proline and serine rich coiled-coil 1","84722"
"ENSG00000173947",2.17667202894805,4.48138074538884,1.54716244561611,2.89651597871111,0.00377331426036032,0.00799992507506196,"PIFO","primary cilia formation","128344"
"ENSG00000184599",4.87392111876866,-2.38597269502384,0.928834724603844,-2.56878067951376,0.010205702611944,0.0201384159872438,"TAFA3","TAFA chemokine like family member 3","284467"
"ENSG00000183508",2053.88135557663,3.20195534801527,0.0724172012048797,44.2153976505724,0,0,"TENT5C","terminal nucleotidyltransferase 5C","54855"
"ENSG00000092621",1283.19734617957,-2.32800498477343,0.152523694565332,-15.2632349446286,1.34415915587229e-52,2.43932646811067e-51,"PHGDH","phosphoglycerate dehydrogenase","26227"
"ENSG00000188610",16.596191894567,-2.22948970021291,0.502207940488647,-4.43937564595976,9.02202257890197e-06,2.62857269212322e-05,"FAM72B","family with sequence similarity 72 member B","653820"
"ENSG00000263513",5.86998829636057,-2.67717724038582,0.88378287308339,-3.02922507543684,0.00245181945046519,0.0053433004685618,"FAM72C","family with sequence similarity 72 member C","554282"
"ENSG00000264343",11.4934459118352,-2.36668231985625,0.599115029878389,-3.95029702449068,7.80542677635145e-05,0.000205205393190109,"NOTCH2NLA","notch 2 N-terminal like A","388677"
"ENSG00000150337",4.83679464027018,2.587555846866,0.975832966153046,2.651638073949,0.00801023541311886,0.0160531123723385,"FCGR1A","Fc gamma receptor Ia","2209"
"ENSG00000143416",142.598013627199,-2.1220188902373,0.17022885111323,-12.4656829694857,1.14883289172744e-35,1.373572162443e-34,"SELENBP1","selenium binding protein 1","8991"
"ENSG00000173207",201.547644874983,-2.53293182589335,0.153231987021433,-16.5300462072521,2.22972653378681e-61,4.91739690276392e-60,"CKS1B","CDC28 protein kinase regulatory subunit 1B","1163"
"ENSG00000183856",323.429239491754,-2.81373707390844,0.130539001597301,-21.5547617147289,4.77722240216734e-103,2.19573642746346e-101,"IQGAP3","IQ motif containing GTPase activating protein 3","128239"
"ENSG00000158473",3.82103427558311,5.29974131908135,1.39957325322204,3.78668376727014,0.000152671196913589,0.00038883321927552,"CD1D","CD1d molecule","912"
"ENSG00000198929",11.0483398602251,2.60399870098818,0.659841302444932,3.94640149281273,7.93345395514959e-05,0.000208385578875338,"NOS1AP","nitric oxide synthase 1 adaptor protein","9722"
"ENSG00000239887",25.6824110757332,2.75849472863316,0.465481538486066,5.92610984660079,3.10195131207443e-09,1.21395728536727e-08,"C1orf226","chromosome 1 open reading frame 226","400793"
"ENSG00000143248",679.495343922114,2.03805120068995,0.0845080258915912,24.1166584970806,1.67176033715068e-128,1.1525771969309e-126,"RGS5","regulator of G protein signaling 5","8490"
"ENSG00000143228",132.19342759075,-2.80268474738916,0.193869098223209,-14.4565831949263,2.2783018511275e-47,3.67366836191641e-46,"NUF2","NUF2 component of NDC80 kinetochore complex","83540"
"ENSG00000120337",90.8357060431566,2.24646743227884,0.242212844510047,9.27476590608992,1.78009500655178e-20,1.26327665832924e-19,"TNFSF18","TNF superfamily member 18","8995"
"ENSG00000116183",15.6925593685169,-2.60883668577309,0.546969415847028,-4.7696207688927,1.84573061432614e-06,5.75971012770048e-06,"PAPPA2","pappalysin 2","60676"
"ENSG00000198756",84.8395419009338,-2.18013969250895,0.228581239991624,-9.5377017492286,1.46032602218287e-21,1.09424327736344e-20,"COLGALT2","collagen beta(1-O)galactosyltransferase 2","23127"
"ENSG00000143341",2279.33849385387,2.05720946159811,0.0629925111674003,32.6580005063006,6.16936916095728e-234,1.49217823935678e-231,"HMCN1","hemicentin 1","83872"
"ENSG00000116690",7.8297291410748,2.22942109463061,0.749988243046949,2.97260805792532,0.00295281250044627,0.00636089876355442,"PRG4","proteoglycan 4","10216"
"ENSG00000073756",1357.62706625186,6.337747301665,0.339984261408966,18.6412961452981,1.48596319335748e-77,4.42907089995884e-76,"PTGS2","prostaglandin-endoperoxide synthase 2","5743"
"ENSG00000116711",252.499482827765,2.93482473266029,0.157723142768287,18.6074451798864,2.79637332235186e-77,8.28467710802797e-76,"PLA2G4A","phospholipase A2 group IVA","5321"
"ENSG00000162670",4.97106555231261,2.26552453113837,0.933562356485116,2.42675223074346,0.0152346562384565,0.0290892670109677,"BRINP3","BMP/retinoic acid inducible neural specific 3","339479"
"ENSG00000150681",15.7264239200752,3.02178291960987,0.590888123837513,5.11396793691664,3.15460926359449e-07,1.05900125313022e-06,"RGS18","regulator of G protein signaling 18","64407"
"ENSG00000162630",36.2936814473686,-2.7526339418572,0.365332252672145,-7.5346042451047,4.89818071831977e-14,2.58191348046052e-13,"B3GALT2","beta-1,3-galactosyltransferase 2","8707"
"ENSG00000066279",593.333577786577,-3.10048884482381,0.105364403459734,-29.4263408040713,2.52835273787826e-190,3.92666487312166e-188,"ASPM","assembly factor for spindle microtubules","259266"
"ENSG00000116833",15.9026604715489,2.56328056522864,0.550119331098014,4.65949916741237,3.1697967846121e-06,9.68866413096478e-06,"NR5A2","nuclear receptor subfamily 5 group A member 2","2494"
"ENSG00000118193",212.976344881228,-2.45568331592743,0.146839767066698,-16.7235576913712,8.82877325079696e-63,1.99784847457452e-61,"KIF14","kinesin family member 14","9928"
"ENSG00000116852",50.116200530578,2.31191144054896,0.302770578362411,7.63585237724667,2.24331248687846e-14,1.20137322800017e-13,"KIF21B","kinesin family member 21B","23046"
"ENSG00000159176",5692.46278267679,-2.31373756504265,0.0575533659514462,-40.2016029261362,0,0,"CSRP1","cysteine and glycine rich protein 1","1465"
"ENSG00000163431",648.670543428421,-2.82926158026152,0.232844473053942,-12.1508642363441,5.67623762787138e-34,6.44209307397033e-33,"LMOD1","leiomodin 1","25802"
"ENSG00000162892",25.2789285099654,7.05209808629939,1.22109331232565,5.77523274848521,7.68467837197508e-09,2.92592889548698e-08,"IL24","interleukin 24","11009"
"ENSG00000162894",6.07172598409682,2.28135790156181,0.834049575816198,2.7352785346474,0.00623275113391422,0.0127348026907313,"FCMR","Fc mu receptor","9214"
"ENSG00000123689",21.7892108035725,2.71950373539768,0.495477441076041,5.48865298386071,4.05010406007304e-08,1.46029411784745e-07,"G0S2","G0/G1 switch 2","50486"
"ENSG00000117594",138.031343314429,2.44698136606182,0.18367361818647,13.3224433112522,1.7140473338174e-40,2.34592341031001e-39,"HSD11B1","hydroxysteroid 11-beta dehydrogenase 1","3290"
"ENSG00000143469",154.09737268897,2.60925835791172,0.180075238562303,14.4898231358387,1.40504132114857e-47,2.27801974200286e-46,"SYT14","synaptotagmin 14","255928"
"ENSG00000117650",126.838303527204,-3.43633089724779,0.220272576400011,-15.6003573091526,7.23878434255293e-55,1.38702628818215e-53,"NEK2","NIMA related kinase 2","4751"
"ENSG00000143476",150.445624494916,-2.75839058630704,0.189069738197645,-14.5892759602996,3.28667227636727e-48,5.42411216616585e-47,"DTL","denticleless E3 ubiquitin protein ligase homolog","51514"
"ENSG00000143494",125.361654022723,2.20923216531392,0.188093886966519,11.7453692990414,7.45959156083137e-32,7.86134384917901e-31,"VASH2","vasohibin 2","79805"
"ENSG00000117724",1324.17284690485,-2.82511200622636,0.0781715112143679,-36.1399180128311,5.35776043329456e-286,2.21469992042492e-283,"CENPF","centromere protein F","1063"
"ENSG00000143799",1043.84682510942,-2.61747584697613,0.0743747822247787,-35.1930556121224,2.55367280514639e-271,9.41922214178246e-269,"PARP1","poly(ADP-ribose) polymerase 1","142"
"ENSG00000116991",845.465812777274,2.42014865393709,0.0824494795952677,29.3531101204912,2.18081479697878e-189,3.35163974110677e-187,"SIPA1L2","signal induced proliferation associated 1 like 2","57568"
"ENSG00000174371",83.3010613307275,-2.5028362105845,0.237784740399622,-10.5256384677092,6.58137334177398e-26,5.74225797069978e-25,"EXO1","exonuclease 1","9156"
"ENSG00000197472",3.34438630074425,-2.68497866105782,1.16871801856738,-2.29737081006852,0.0215976254785885,0.039971320410323,"ZNF695","zinc finger protein 695","57116"
"ENSG00000171848",822.67379311788,-2.53280647597014,0.08902871203145,-28.44932177695,4.96813416484294e-178,6.6035902223507e-176,"RRM2","ribonucleotide reductase regulatory subunit M2","6241"
"ENSG00000162975",265.399863805106,2.24095259482598,0.134614673026638,16.6471644170806,3.17283813797118e-62,7.08200512672115e-61,"KCNF1","potassium voltage-gated channel modifier subfamily F member 1","3754"
"ENSG00000196208",10.1619789404487,2.23525100812184,0.648945206661572,3.44443719620158,0.000572249562391806,0.00135586478938955,"GREB1","growth regulating estrogen receptor binding 1","9687"
"ENSG00000162981",79.2791589935576,2.59752060907343,0.247294610088959,10.50374938677,8.30158221935566e-26,7.21328292487476e-25,"LRATD1","LRAT domain containing 1","151354"
"ENSG00000143867",287.341815489332,-2.50819525805775,0.130760155740062,-19.1816478334868,5.26839544341149e-82,1.66802374189041e-80,"OSR1","odd-skipped related transcription factor 1","130497"
"ENSG00000115163",75.4012085365385,-2.89064132299693,0.257942151860679,-11.2065488410682,3.7867174800547e-29,3.67802697173976e-28,"CENPA","centromere protein A","1058"
"ENSG00000075426",1241.54577193998,-2.02417343926102,0.0754066733614928,-26.8434257742324,1.0065168853889e-158,1.03847203685509e-156,"FOSL2","FOS like 2, AP-1 transcription factor subunit","2355"
"ENSG00000213626",2217.24066575268,-2.41398326460871,0.22295600086261,-10.8271733224003,2.5593423939598e-27,2.3497534337575e-26,"LBH","LBH regulator of WNT signaling pathway","81606"
"ENSG00000152689",276.651098223156,2.81650085448466,0.155472403640509,18.1157606657778,2.3934160167142e-73,6.63768043432356e-72,"RASGRP3","RAS guanyl releasing protein 3","25780"
"ENSG00000150938",7442.98631416393,-2.05963137024966,0.0538449071469776,-38.2511825051086,0,0,"CRIM1","cysteine rich transmembrane BMP regulator 1","51232"
"ENSG00000163171",4580.95736441411,-2.02028700913573,0.134812193242524,-14.9859368098943,9.07370674482255e-51,1.58994619136712e-49,"CDC42EP3","CDC42 effector protein 3","10602"
"ENSG00000119865",249.515401681249,-2.02244438375852,0.13005686473663,-15.5504623908477,1.57961248705027e-54,2.98789777358202e-53,"CNRIP1","cannabinoid receptor interacting protein 1","25927"
"ENSG00000124374",5.20803296766438,-3.32065827433271,1.06438901815145,-3.11977878172755,0.00180986906604654,0.00401666790018812,"PAIP2B","poly(A) binding protein interacting protein 2B","400961"
"ENSG00000003137",8.76343847232493,3.53934185990427,0.87322664806783,4.05317664976865,5.05268201868044e-05,0.000135762648886562,"CYP26B1","cytochrome P450 family 26 subfamily B member 1","56603"
"ENSG00000115353",50.0429620001663,2.88915296198528,0.330806366362116,8.73366795735328,2.4654417447882e-18,1.5835928385984e-17,"TACR1","tachykinin receptor 1","6869"
"ENSG00000121152",152.85489754481,-3.12641827858868,0.196005095185496,-15.9506990143797,2.81725844235055e-57,5.79718703743933e-56,"NCAPH","non-SMC condensin I complex subunit H","23397"
"ENSG00000071073",3.46291517256693,3.18091734698291,1.31796942524715,2.41349858809237,0.0158001891019122,0.0300872470327327,"MGAT4A","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","11320"
"ENSG00000204634",105.628668318824,2.1128870536827,0.199366216084263,10.5980195400292,3.04357107321795e-26,2.68248791005123e-25,"TBC1D8","TBC1 domain family member 8","11138"
"ENSG00000175874",6.41245930957333,3.0469992621582,0.918828872906905,3.31617709456429,0.000912579795276577,0.0021110383034667,"CREG2","cellular repressor of E1A stimulated genes 2","200407"
"ENSG00000115594",2297.59335914873,2.15205095026834,0.147470564297107,14.5930881903498,3.10803835499735e-48,5.13505015561376e-47,"IL1R1","interleukin 1 receptor type 1","3554"
"ENSG00000115598",5.94873065008552,2.25668259272434,0.839177005341763,2.68916161710756,0.00716317293944499,0.0144773043803593,"IL1RL2","interleukin 1 receptor like 2","8808"
"ENSG00000115602",6.50423948845808,2.1637572623164,0.793425725066739,2.7271075211664,0.00638922158294015,0.0130292432943606,"IL1RL1","interleukin 1 receptor like 1","9173"
"ENSG00000115604",61.7242974913989,2.81769734891159,0.32876571091543,8.57053292165375,1.03007231226313e-17,6.42608325375484e-17,"IL18R1","interleukin 18 receptor 1","8809"
"ENSG00000144057",2.64110959457406,3.71688820470734,1.4796309990456,2.51203726273972,0.0120036413208113,0.0233952079322655,"ST6GAL2","ST6 beta-galactoside alpha-2,6-sialyltransferase 2","84620"
"ENSG00000144063",5.03872701559054,-3.32178567809454,1.06426524792969,-3.12120092670168,0.00180115095601812,0.00399852260082626,"MALL","mal, T cell differentiation protein like","7851"
"ENSG00000169679",337.231679499979,-3.03236821343361,0.128306142148277,-23.6338507468276,1.73024342675233e-123,1.09562281194437e-121,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","699"
"ENSG00000169607",221.929375835469,-2.69605301193127,0.15192316153417,-17.7461618406677,1.84543557851869e-70,4.83615568835964e-69,"CKAP2L","cytoskeleton associated protein 2 like","150468"
"ENSG00000115008",27.9078867067544,2.55770327956347,0.421375638441832,6.06988882656192,1.279988266744e-09,5.13766120025849e-09,"IL1A","interleukin 1 alpha","3552"
"ENSG00000125538",286.388991435147,4.46985055150529,0.207655477490823,21.5253197532573,9.0196123673912e-103,4.11998021264674e-101,"IL1B","interleukin 1 beta","3553"
"ENSG00000072163",287.67373232416,-2.13384757661627,0.125445685782167,-17.0101312238162,6.90828711929028e-65,1.63341134868604e-63,"LIMS2","LIM zinc finger domain containing 2","55679"
"ENSG00000183840",26.8612125827041,-2.10051835598536,0.385945202542268,-5.44253003314717,5.25291006638755e-08,1.87201534105029e-07,"GPR39","G protein-coupled receptor 39","2863"
"ENSG00000076003",377.504275716566,-2.1049762066627,0.112757755435393,-18.6681279574494,8.99508530263725e-78,2.69195717150324e-76,"MCM6","minichromosome maintenance complex component 6","4175"
"ENSG00000168702",34.6315391639251,3.47398175166521,0.451735971730431,7.69029249177941,1.46799038433231e-14,7.9248921077347e-14,"LRP1B","LDL receptor related protein 1B","53353"
"ENSG00000115919",322.712914406034,3.79055529846735,0.170571048668131,22.2227354997529,2.07065833821205e-109,1.03913241911499e-107,"KYNU","kynureninase","8942"
"ENSG00000123610",275.845431876023,2.6984196135197,0.274256440548995,9.83903826695236,7.64380129342369e-23,6.05349674091107e-22,"TNFAIP6","TNF alpha induced protein 6","7130"
"ENSG00000153234",635.93920101828,4.32640777579068,0.137032426181789,31.5721460703849,8.9072387034374e-219,1.87739142615022e-216,"NR4A2","nuclear receptor subfamily 4 group A member 2","4929"
"ENSG00000163072",5.24602695546976,-2.91514758417479,0.981193477950955,-2.97102217827879,0.00296810345479261,0.00639103887507445,"NOSTRIN","nitric oxide synthase trafficking","115677"
"ENSG00000152253",57.6296411054703,-3.10582925136405,0.316509308789743,-9.81275799830347,9.92189698701358e-23,7.81567902543504e-22,"SPC25","SPC25 component of NDC80 kinetochore complex","57405"
"ENSG00000144354",79.3321845773423,-2.42822134396013,0.247209706815437,-9.82251617560067,9.00668945284336e-23,7.10993559054312e-22,"CDCA7","cell division cycle associated 7","83879"
"ENSG00000064989",10.3318553999407,-2.5058224456274,0.649523594995142,-3.85793905708097,0.000114347148987589,0.000294892123083883,"CALCRL","calcitonin receptor like receptor","10203"
"ENSG00000182329",4.35839966181653,-2.19812566536606,0.985804142372972,-2.22977929477437,0.0257620986268559,0.0469773826647673,"KIAA2012","KIAA2012","100652824"
"ENSG00000138439",346.205455204326,2.55684237527205,0.126390523033808,20.2297000906321,5.36281276160913e-91,2.039251017649e-89,"FAM117B","family with sequence similarity 117 member B","150864"
"ENSG00000183671",14.5620913396255,-3.6124469377038,0.67163731452053,-5.37856795565723,7.50806426633416e-08,2.63810383866383e-07,"CMKLR2","chemerin chemokine-like receptor 2","2825"
"ENSG00000138376",75.538491786139,-2.42844113510852,0.238672869972625,-10.1747682314586,2.57011097321543e-24,2.13871501967403e-23,"BARD1","BRCA1 associated RING domain 1","580"
"ENSG00000175084",5.41529895030962,-2.23011187426918,0.875128922700432,-2.54832381426454,0.0108241946787352,0.0212701424876046,"DES","desmin","1674"
"ENSG00000152049",330.933800670776,2.48774453824125,0.126921379723157,19.6006736112352,1.52590615300445e-85,5.27241671696197e-84,"KCNE4","potassium voltage-gated channel subfamily E regulatory subunit 4","23704"
"ENSG00000171951",793.124579134863,2.98016310498422,0.0943819971500282,31.5755461313983,7.99969814764955e-219,1.71054415174524e-216,"SCG2","secretogranin II","7857"
"ENSG00000163273",40.864509174533,2.42765728342882,0.344127613491039,7.05452625205281,1.73189754073028e-12,8.37509548211556e-12,"NPPC","natriuretic peptide C","4880"
"ENSG00000168918",21.8304031928055,2.56593711055473,0.465430771701933,5.51303709716465,3.5269385424076e-08,1.27885109989387e-07,"INPP5D","inositol polyphosphate-5-phosphatase D","3635"
"ENSG00000123485",260.197140320079,-2.65014571276365,0.140972159767135,-18.7990715127107,7.68498766361755e-79,2.33301045244883e-77,"HJURP","Holliday junction recognition protein","55355"
"ENSG00000144619",15.3158806933518,3.76271687133434,0.694576929499468,5.41727879451145,6.05129451051827e-08,2.14565727489033e-07,"CNTN4","contactin 4","152330"
"ENSG00000163701",25.3560683438015,-2.76670355148552,0.430550735527881,-6.42596405762349,1.31036364097095e-10,5.62826933300884e-10,"IL17RE","interleukin 17 receptor E","132014"
"ENSG00000144554",150.096850302816,-2.09867755888415,0.173739056556998,-12.0794805754897,1.35573441615365e-33,1.52110308562213e-32,"FANCD2","FA complementation group D2","2177"
"ENSG00000144712",93.6408411442784,-2.31071707401376,0.213841312773835,-10.8057561190603,3.23282491729075e-27,2.95338073248964e-26,"CAND2","cullin associated and neddylation dissociated 2 (putative)","23066"
"ENSG00000129810",38.890579035127,-2.65416038429215,0.352802719817497,-7.52307234384455,5.35037985783984e-14,2.81323964442513e-13,"SGO1","shugoshin 1","151648"
"ENSG00000163491",142.818009557937,2.07230064530541,0.171446715194253,12.087141144451,1.23510093765096e-33,1.38786589749446e-32,"NEK10","NIMA related kinase 10","152110"
"ENSG00000114739",291.174217170139,3.56367290530294,0.161345201867579,22.0872567888803,4.19084427727104e-108,2.07488981432406e-106,"ACVR2B","activin A receptor type 2B","93"
"ENSG00000168334",3.8933544691611,-3.46723385574347,1.26294093413149,-2.7453650143408,0.00604436275287426,0.0123904044304859,"XIRP1","xin actin binding repeat containing 1","165904"
"ENSG00000163808",109.837962751288,-3.0009715092931,0.219608373349219,-13.6651051302173,1.64066659679921e-42,2.36621651702596e-41,"KIF15","kinesin family member 15","56992"
"ENSG00000183763",46.4072133448064,-3.39894311385009,0.358745389747792,-9.47452764825672,2.67970326143855e-21,1.98177152477516e-20,"TRAIP","TRAF interacting protein","10293"
"ENSG00000164087",120.649607655748,-2.01472832750927,0.194793417323353,-10.3428973894167,4.50700926878191e-25,3.84372339604672e-24,"POC1A","POC1 centriolar protein A","25886"
"ENSG00000168306",54.1184165522606,-2.3472182281494,0.277775010534295,-8.45006980157998,2.91128713458518e-17,1.77272514996573e-16,"ACOX2","acyl-CoA oxidase 2","8309"
"ENSG00000044524",3.9318647308226,-2.86752640560866,1.11380287826905,-2.57453671700424,0.0100374432268247,0.0198196516820894,"EPHA3","EPH receptor A3","2042"
"ENSG00000144821",12.7124666863379,-2.26563778972642,0.571561664361294,-3.96394287965099,7.37218995547229e-05,0.000194404451479961,"MYH15","myosin heavy chain 15","22989"
"ENSG00000163507",227.058322893011,-2.08827295428149,0.140355799305188,-14.8784230122246,4.55100518249321e-50,7.85327841666724e-49,"CIP2A","cellular inhibitor of PP2A","57650"
"ENSG00000051341",119.498988823157,-2.83473314984585,0.216256520318762,-13.1081973651821,2.95539663338465e-39,3.89668649945998e-38,"POLQ","DNA polymerase theta","10721"
"ENSG00000074416",2392.80973934457,-2.14808670766457,0.0589063478178104,-36.4661328912857,3.81870792595328e-291,1.94280057722464e-288,"MGLL","monoglyceride lipase","11343"
"ENSG00000114654",3.38419453839636,4.09710319828683,1.41713466797125,2.89111775393385,0.00383874256822009,0.00812812971462675,"EFCC1","EF-hand and coiled-coil domain containing 1","79825"
"ENSG00000183770",20.5195109936707,2.47292695422104,0.488816359038634,5.05901021619775,4.21438289544751e-07,1.39979750651581e-06,"FOXL2","forkhead box L2","668"
"ENSG00000206262",4.7773637716545,2.1790747287226,0.938236450775442,2.32252192602582,0.0202048491988678,0.0376154378649963,"FOXL2NB","FOXL2 neighbor","401089"
"ENSG00000155903",1023.35613415789,2.05089158351551,0.0724505354963188,28.3074730844427,2.79630494359206e-176,3.61900729278573e-174,"RASA2","RAS p21 protein activator 2","5922"
"ENSG00000175040",589.693116509631,2.02107463308371,0.0941513977354621,21.4662201697986,3.2218151218831e-102,1.4581184143639e-100,"CHST2","carbohydrate sulfotransferase 2","9435"
"ENSG00000144893",18.9907813205522,2.34574550617197,0.478470798915888,4.90258864592557,9.45819102101275e-07,3.04885624478965e-06,"MED12L","mediator complex subunit 12L","116931"
"ENSG00000152580",5.06539953075312,2.64058980501776,0.970551637016696,2.72071026857929,0.00651418282857207,0.0132693985161884,"IGSF10","immunoglobulin superfamily member 10","285313"
"ENSG00000114771",8.87502828904809,2.07181618841094,0.679211969544799,3.05032343555348,0.00228595045221408,0.00500028361333827,"AADAC","arylacetamide deacetylase","13"
"ENSG00000169860",2.90364219795727,4.90435771252988,1.46081701432725,3.35727039350544,0.000787160915664716,0.00183704083355223,"P2RY1","purinergic receptor P2Y1","5028"
"ENSG00000196549",1520.30148791169,2.83743506770689,0.0806594351553825,35.177968482433,4.34405880807536e-271,1.563225454984e-268,"MME","membrane metalloendopeptidase","4311"
"ENSG00000180044",6.36573700666312,2.36392969026199,0.825407937689304,2.86395318281008,0.00418389845269381,0.00880337104549977,"C3orf80","chromosome 3 open reading frame 80","401097"
"ENSG00000163590",45.0929332528725,2.12378548839989,0.307690118043239,6.90235195691736,5.11485161017352e-12,2.40716174342903e-11,"PPM1L","protein phosphatase, Mg2+/Mn2+ dependent 1L","151742"
"ENSG00000013297",3890.38900873251,-2.90578849584538,0.198946772026379,-14.6058589754857,2.57713498729911e-48,4.26745786785758e-47,"CLDN11","claudin 11","5010"
"ENSG00000013293",186.24913145338,-3.41951074686184,0.187048348643177,-18.2814270837808,1.16341741460406e-74,3.2820383432253e-73,"SLC7A14","solute carrier family 7 member 14","57709"
"ENSG00000114796",586.82411052868,2.29706369421402,0.0986860202229604,23.2764852511458,7.67337137104446e-120,4.40517203145486e-118,"KLHL24","kelch like family member 24","54800"
"ENSG00000163898",19.1195209153036,-2.46012247494109,0.476750617149442,-5.16018728963688,2.46702915580769e-07,8.34637655693342e-07,"LIPH","lipase H","200879"
